TABLE_NAME,Column_Name,Description,Confidence_Score
vw_ProjectScurve,GFromDate,"Gregorian start date for the project S-Curve period",95%
vw_ProjectScurve,GToDate,"Gregorian end date for the project S-Curve period",95%
vw_ProjectScurve,PlanPer,"Planned percentage for the period",100%
vw_ProjectScurve,ActualPer,"Actual percentage for the period",100%
vw_ProjectScurve,PlanCommulative,"Cumulative planned progress for the project",100%
vw_ProjectScurve,ActualCommulative,"Cumulative actual progress for the project",100%
vw_ProjectScurve,ProjectID,"Foreign key linking to the project",100%
vw_ProjectScurve,TimePeriod,"Identifier for the time period (e.g., week/month)",100%
vw_ResourceUsage,VolUnit,"Unit of volume or measurement for the resource",95%
vw_ResourceUsage,ProjectID,"Foreign key linking the usage to a project",100%
vw_ResourceUsage,ResourceID,"Foreign key identifying the specific resource",100%
vw_ResourceUsage,UsageAmount,"Amount or quantity of the resource used",100%
vw_ResourceUsage,Comments,"Remarks or comments regarding the resource usage",100%
vw_ResourceUsage,Cost,"Cost incurred by utilizing the resource",100%
vw_ResourceUsage,WBSID,"Foreign key linking resource usage to a specific WBS node",100%
vw_ResourceUsage,Abbriviation,"Abbreviated name or code for the resource",95%
vw_ResourceUsage,ResourceName,"Full name of the resource (e.g., Crane, Engineer)",100%
vw_ResourceUsage,ResourceTypeName,"Type of the resource (e.g., Material, Labor, Equipment)",100%
vw_ResourceUsage,ResourceGroupName,"Group or category the resource belongs to",100%
vw_ResourceUsage,WBSName,"Name of the associated WBS node",100%
vw_ResourceUsage,WBSCode,"Hierarchical code of the associated WBS node",100%
vw_ResourceUsage,ActivityCode,"Code of the specific activity utilizing the resource",100%
vw_ResourceUsage,WBSPath,"Full hierarchical path of the WBS node",100%
vw_ResourceUsage,ActualStartDate_MiladiDate,"Gregorian actual start date of the resource usage",100%
vw_Risks,RisksKEY,"Primary key for the risk register record",100%
vw_Risks,OrganizationUnitID,"Foreign key for the organization unit owning the risk",100%
vw_Risks,OrganUnitName,"Name of the organization unit owning the risk",100%
vw_Risks,ParentID,"Parent risk ID (if part of a broader risk category)",95%
vw_Risks,RiskTitle,"Short title or name of the identified risk",100%
vw_Risks,Description,"Detailed description of the risk",100%
vw_Risks,Severity,"Severity or impact level if the risk occurs",100%
vw_Risks,IdentificationDate_GeorgianDate,"Gregorian date the risk was identified",100%
vw_Risks,DueDate_GeorgianDate,"Gregorian target date for mitigating the risk",100%
vw_Risks,Resolution,"Planned or actual resolution/mitigation strategy",100%
vw_Risks,AssignedTo,"User or team assigned to manage the risk",100%
vw_Risks,Type,"Type of risk (e.g., Financial, Operational, Schedule)",100%
vw_Risks,Probability,"Probability or likelihood of the risk occurring",100%
vw_Risks,DetectionCapability,"Ability or mechanism to detect the risk early",95%
vw_Risks,Sign,"Indicator or early warning sign of the risk",95%
vw_Risks,SupportResponse,"Required support or fallback response plan",95%
vw_Risks,AssignedUserDetailsUserName,"System username of the risk owner/assignee",100%
vw_Risks,AssignedUserDetailsFirstName,"First name of the risk owner/assignee",100%
vw_Risks,AssignedUserDetailsLastName,"Last name of the risk owner/assignee",100%
vw_Risks,CreatorUserDetailsUserName,"System username of the risk creator",100%
vw_Risks,CreatorUserDetailsFirstName,"First name of the risk creator",100%
vw_Risks,CreatorUserDetailsLastName,"Last name of the risk creator",100%
vw_Risks,LastModifierUserDetailsUserName,"System username of the last person to update the risk",100%
vw_Risks,LastModifierUserDetailsFirstName,"First name of the last modifier",100%
vw_Risks,LastModifierUserDetailsLastName,"Last name of the last modifier",100%
vw_Risks,ProjectPK,"Foreign key linking the risk to a project",100%
vw_Risks,ProjectName,"Name of the project",100%
vw_Risks,ProjectRiskCategoriesTitle,"Title of the risk category/RBS node",100%
vw_Risks,RiskStatusName,"Current status of the risk (e.g., Open, Mitigated, Realized)",100%
vw_Risks,ReferCount,"Number of times the risk has been referenced or escalated",90%
vw_Risks,ActionDescription,"Description of mitigation actions performed",100%
vw_Risks,StakeholderName,"Stakeholder primarily affected by the risk",100%
vw_WBS,ParentID,"Parent WBS node ID (for defining hierarchy)",100%
vw_WBS,WbsId,"Primary key / Unique identifier for the WBS element",100%
vw_WBS,Duration,"Duration of the WBS element",100%
vw_WBS,DurationUnit,"Unit of time for the duration (e.g., Days)",100%
vw_WBS,IsActivity,"Flag indicating if this WBS node represents a leaf-level activity",100%
vw_WBS,Code,"WBS hierarchical code",100%
vw_WBS,Name,"Name or title of the WBS element",100%
vw_WBS,ActivityCode,"Specific code if the element is an activity",100%
vw_WBS,GeorgianDate_PlanEndDate,"Gregorian planned end date of the WBS element",100%
vw_WBS,GeorgianDate_PlanStartDate,"Gregorian planned start date of the WBS element",100%
vw_WBS,GeorgianDate_ActualEndDate,"Gregorian actual end date of the WBS element",100%
vw_WBS,GeorgianDate_ActualStartDate,"Gregorian actual start date of the WBS element",100%
vw_WBS,IsMilestone,"Flag indicating if the WBS element is a milestone (zero duration)",100%
vw_WBS,PrjId,"Foreign key linking to the project",100%
vw_WBS,ProjectName,"Name of the project",100%
vw_WBS,OrgID,"Foreign key linking to the responsible organization unit",100%
vw_WBS,Weight,"Weightage of the WBS element relative to its parent/project",100%
vw_WBS,Critical,"Flag indicating if the WBS element is on the critical path",100%
vw_WBS,PlanProgress,"Planned progress percentage of the WBS element",100%
vw_WBS,ActualProgress,"Actual progress percentage of the WBS element",100%
vw_WBS,FieldProgress,"Physical or field-verified progress percentage",95%
vw_WBS,lvl,"Level deepness in the WBS hierarchy (e.g., Level 1, Level 2)",100%
vw_WBS,ParentPath,"Full path of parent IDs to trace hierarchy",100%
vw_WorkItems,DataFormItemPK,"Foreign key linking to a Data Form Item",95%
vw_WorkItems,WBSID,"Foreign key linking to a WBS node",100%
vw_WorkItems,WeightOfWhole,"Weightage of this work item relative to the entire project",100%
vw_WorkItems,ProjectKEY,"Foreign key linking to the project",100%
vw_WorkItems,آیدی قلم کاری,"Work item ID",100%
vw_WorkItems,کد پروژه,"Project Code",100%
vw_WorkItems,نام پروژه,"Project Name",100%
vw_WorkItems,کد قلم کاری,"Work item Code",100%
vw_WorkItems,عنوان قلم کاری,"Work item title or description",100%
vw_WorkItems,تاریخ شروع برنامه ای قلم کاری-سال,"Year of the planned start date for the work item",100%
vw_WorkItems,تاریخ شروع برنامه ای قلم کاری-ماه,"Month of the planned start date for the work item",100%
vw_WorkItems,تاریخ شروع برنامه ای قلم کاری-روز,"Day of the planned start date for the work item",100%
vw_WorkItems,تاریخ شروع برنامه ای قلم کاری,"Full planned start date of the work item",100%
vw_WorkItems,تاریخ شروع واقعی قلم کاری-سال,"Year of the actual start date for the work item",100%
vw_WorkItems,تاریخ شروع واقعی قلم کاری-ماه,"Month of the actual start date for the work item",100%
vw_WorkItems,تاریخ شروع واقعی قلم کاری-روز,"Day of the actual start date for the work item",100%
vw_WorkItems,تاریخ شروع واقعی قلم کاری,"Full actual start date of the work item",100%
vw_WorkItems,تاریخ پایان برنامه ای قلم کاری-سال,"Year of the planned end date for the work item",100%
vw_WorkItems,تاریخ پایان برنامه ای قلم کاری-ماه,"Month of the planned end date for the work item",100%
vw_WorkItems,تاریخ پایان برنامه ای قلم کاری-روز,"Day of the planned end date for the work item",100%
vw_WorkItems,تاریخ پایان برنامه ای قلم کاری,"Full planned end date of the work item",100%
vw_WorkItems,تاریخ پایان واقعی قلم کاری-سال,"Year of the actual end date for the work item",100%
vw_WorkItems,تاریخ پایان واقعی قلم کاری-ماه,"Month of the actual end date for the work item",100%
vw_WorkItems,تاریخ پایان واقعی قلم کاری-روز,"Day of the actual end date for the work item",100%
vw_WorkItems,تاریخ پایان واقعی قلم کاری,"Full actual end date of the work item",100%
vw_WorkItems,پیشرفت برنامه قلم کاری,"Planned progress of the work item",100%
vw_WorkItems,پیشرفت واقعی قلم کاری,"Actual progress of the work item",100%
vw_WorkItems,نام دیسیپلین قلم کاری,"Discipline or engineering branch of the work item",100%
vw_WorkItems,نام چرخه کاری قلم کاری,"Workflow or lifecycle name associated with the work item",95%
vw_WorkItems,نوع قلم کاری,"Type or category of the work item",100%
vw_WorkItems,SubProjectID,"Foreign key for a related sub-project if applicable",95%
vw_WorkItems,استان,"Province where the work item is taking place",100%
vw_WorkItems,سایت,"Specific site or location of the work item",100%
vw_WorkItems,شهر,"City where the work item is taking place",100%
vw_WorkItems,مسول,"Person or entity responsible for the work item",100%
